,Time,Headlines,sia_compound,sia_negative,sia_neutral,sia_positive,fb_positive,fb_negative,fb_neutral
0,2020-07-18,Johnson is asking Santa for a Christmas recovery,0.0,0.0,1.0,0.0,0.04862440004944801,0.03744708374142647,0.9139285087585449
1,2020-07-18,‘I now fear the worst’: four grim tales of working life upended by Covid-19,-0.7845,0.365,0.635,0.0,0.06102096289396286,0.34559422731399536,0.5933847427368164
2,2020-07-18,Five key areas Sunak must tackle to serve up economic recovery,0.0,0.0,1.0,0.0,0.7254455089569092,0.009677150286734104,0.2648772895336151
3,2020-07-18,Covid-19 leaves firms ‘fatally ill-prepared’ for no-deal Brexit,0.0,0.0,1.0,0.0,0.014369669370353222,0.9362609386444092,0.04936928674578667
4,2020-07-18,"The Week in Patriarchy  


  Bacardi's 'lady vodka': the latest in a long line of depressing gendered products",-0.3818,0.148,0.852,0.0,0.02472531609237194,0.725874125957489,0.24940046668052673
5,2020-07-18,English councils call for smoking ban outside pubs and cafes,-0.5574,0.286,0.714,0.0,0.02764887362718582,0.1480410099029541,0.8243100643157959
6,2020-07-18,Can Tesla justify a $300bn valuation?,0.0,0.0,1.0,0.0,0.09948498755693436,0.012165719643235207,0.8883492946624756
7,2020-07-18,Empty city centres: 'I’m not sure it will ever be the same again',-0.4141,0.255,0.745,0.0,0.07299351692199707,0.31435200572013855,0.612654447555542
8,2020-07-18,Democratising finance for all? An investment app for amateurs and a student trader's death,-0.5994,0.245,0.755,0.0,0.0769476369023323,0.015054424293339252,0.9079979658126831
9,2020-07-18,"Homebuyer loses £300,000 to fraudsters – but gets it back after we step in",-0.431,0.259,0.741,0.0,0.07859036326408386,0.13808183372020721,0.7833278775215149
10,2020-07-18,St Mawes named UK’s top seaside resort in Which? poll,0.2023,0.0,0.833,0.167,0.5831398367881775,0.011751488782465458,0.40510863065719604
11,2020-07-18,Atol protection to be extended to vouchers on Covid-19 cancellations,0.0,0.0,1.0,0.0,0.290970116853714,0.010836532339453697,0.6981934309005737
12,2020-07-18,"Leaseholders billed up to £115,000 each to remove Grenfell-style cladding",0.0,0.0,1.0,0.0,0.508008599281311,0.023634908720850945,0.4683564603328705
13,2020-07-18,Boohoo calls for licensing scheme to ensure textile factories fit to trade,0.6249,0.0,0.662,0.338,0.2512209713459015,0.013120437040925026,0.7356586456298828
14,2020-07-18,All Asda HQ staff told to return to office at least once a week from August,0.0,0.0,1.0,0.0,0.019008878618478775,0.19270059466362,0.7882905602455139
15,2020-07-18,"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs",-0.5267,0.236,0.764,0.0,0.01216190867125988,0.9455125331878662,0.042325474321842194
16,2020-07-18,British Airways retires iconic Boeing 747 fleet – in pictures,0.0,0.0,1.0,0.0,0.10620386898517609,0.07920560240745544,0.8145904541015625
17,2020-07-18,World Bank calls on creditors to cut poorest nations' debt payments,-0.7964,0.503,0.497,0.0,0.043781742453575134,0.8575136065483093,0.09870464354753494
18,2020-07-18,British Airways retires Boeing 747 fleet as Covid-19 hits travel,0.0,0.0,1.0,0.0,0.0371612012386322,0.8615298867225647,0.10130885988473892
